Time (s),D Feed Flow (stream 2),E Feed Flow (stream 3),A Feed Flow (stream 1),A and C Feed Flow (stream 4),Compressor Recycle Valve,Purge Valve (stream 9),Separator Pot Liquid Flow (stream 10),Stripper Liquid Product Flow (stream 11),Stripper Steam Valve,Reactor Cooling Water Flow,Condenser Cooling Water Flow,Agitator Speed,A Feed (stream 1),D Feed (stream 2),E Feed (stream 3),A and C Feed (stream 4),Recycle Flow (stream 8),Reactor Feed Rate (stream 6),Reactor Pressure,Reactor Level,Reactor Temperature,Purge Rate (stream 9),Product Sep Temp,Product Sep Level,Prod Sep Pressure,Prod Sep Underflow (stream 10),Stripper Level,Stripper Pressure,Stripper Underflow (stream 11),Stripper Temperature,Stripper Steam Flow,Compressor Work,Reactor Cooling Water Outlet Temp,Separator Cooling Water Outlet Temp,Reactor Feed Component A,Reactor Feed Component B,Reactor Feed Component C,Reactor Feed Component D,Reactor Feed Component E,Reactor Feed Component F,Purge Gas Component A,Purge Gas Component B,Purge Gas Component C,Purge Gas Component D,Purge Gas Component E,Purge Gas Component F,Purge Gas Component G,Purge Gas Component H,Product Component D,Product Component E,Product Component F,Product Component G,Product Component H
24300,62.668,54.396,21.533,61.302,22.99,37.634,38.291,45.242,49.994,41.745,17.569,50.0,0.21889,3685.2,4513.4,9.3172,26.943,42.481,2720.0,74.955,120.4,0.31574,79.723,50.065,2649.9,24.579,49.442,3114.4,23.17,65.975,242.6,343.84,94.55,77.417,32.185,9.1053,26.672,6.8185,18.119,1.6395,33.187,13.772,24.266,1.3982,17.858,2.246,4.7094,2.2457,0.01726,0.81071,0.086962,53.762,43.776
24480,63.242,54.485,21.323,60.22,23.0,37.354,37.51,44.014,49.568,40.944,18.548,50.0,0.22102,3651.8,4506.0,9.4799,26.829,42.378,2718.5,74.912,120.41,0.31804,79.573,49.799,2648.3,25.311,48.911,3113.2,22.78,65.938,242.17,343.64,94.587,76.817,32.185,9.1053,26.672,6.8185,18.119,1.6395,33.187,13.772,24.266,1.3982,17.858,2.246,4.7094,2.2457,0.024431,0.81198,0.11106,53.845,43.438
24660,62.953,54.985,22.538,64.253,23.054,38.801,35.857,50.458,49.43,41.329,17.043,50.0,0.2303,3705.9,4546.7,9.2721,26.623,42.237,2720.7,75.708,120.41,0.32342,79.77,49.238,2650.7,24.15,51.695,3114.2,23.398,65.896,240.72,343.83,94.564,77.381,32.41,8.7795,26.929,6.854,18.415,1.6265,33.24,13.678,24.614,1.1588,18.326,2.2433,4.7738,2.2298,0.024431,0.81198,0.11106,53.845,43.438
24840,62.842,55.083,22.631,63.229,22.816,38.165,35.514,46.649,49.161,41.714,15.793,50.0,0.22936,3712.3,4538.5,9.313,27.26,42.821,2720.2,74.963,120.4,0.32864,79.672,49.121,2648.9,23.809,50.05,3116.2,23.944,65.874,240.76,343.43,94.493,76.869,32.41,8.7795,26.929,6.854,18.415,1.6265,33.24,13.678,24.614,1.1588,18.326,2.2433,4.7738,2.2298,0.024431,0.81198,0.11106,53.845,43.438
25020,63.377,54.112,20.219,60.301,23.512,37.243,41.458,50.044,49.15,40.991,20.622,50.0,0.20805,3665.7,4566.0,9.3672,27.363,42.521,2722.1,75.602,120.4,0.31445,79.909,51.141,2651.3,24.633,51.517,3117.4,21.884,65.831,237.92,343.25,94.418,77.52,32.161,8.8753,26.85,6.7685,18.653,1.6456,33.226,13.673,24.873,1.2005,18.387,2.2266,4.8275,2.3045,0.024431,0.81198,0.11106,53.845,43.438
25200,63.236,54.229,20.26,62.226,22.924,36.784,39.571,43.992,48.941,41.372,19.434,50.0,0.20763,3673.8,4556.2,9.3261,26.802,42.302,2720.8,74.603,120.42,0.31821,79.819,50.5,2649.5,25.969,48.902,3115.6,22.395,65.877,237.24,343.17,94.67,77.126,32.161,8.8753,26.85,6.7685,18.653,1.6456,33.226,13.673,24.873,1.2005,18.387,2.2266,4.8275,2.3045,0.024431,0.81198,0.11106,53.845,43.438
25380,64.094,53.954,22.487,64.257,22.935,36.578,33.926,46.901,48.78,41.065,20.913,50.0,0.23126,3671.5,4533.9,9.3743,26.73,42.093,2720.1,75.116,120.39,0.317,79.802,48.582,2649.9,23.326,50.159,3115.3,21.771,65.85,235.97,343.4,94.456,77.247,32.073,8.7994,26.306,6.9792,18.65,1.6465,32.918,13.664,24.216,1.2829,18.311,2.2593,4.8161,2.2562,0.014166,0.81688,0.098283,53.855,44.001
25560,63.008,53.93,22.62,60.237,22.689,36.801,42.476,46.984,48.595,41.456,20.249,50.0,0.22992,3734.5,4535.9,9.4396,27.098,42.373,2718.1,75.319,120.42,0.31517,79.694,51.487,2647.4,24.736,50.194,3114.7,22.06,65.8,235.03,342.61,94.508,76.988,32.073,8.7994,26.306,6.9792,18.65,1.6465,32.918,13.664,24.216,1.2829,18.311,2.2593,4.8161,2.2562,0.014166,0.81688,0.098283,53.855,44.001
25740,62.522,54.114,23.556,60.92,22.999,36.43,37.836,49.374,48.462,41.225,16.983,50.0,0.23874,3655.9,4522.8,9.384,26.758,42.425,2717.4,75.16,120.4,0.31434,79.687,49.91,2647.3,26.467,51.227,3112.4,23.437,65.761,233.55,343.17,94.545,77.153,32.069,8.8001,26.488,6.8975,18.325,1.619,32.895,13.981,24.218,1.182,18.473,2.2467,4.7777,2.2437,0.014166,0.81688,0.098283,53.855,44.001
25920,62.71,54.17,23.416,60.015,22.64,36.892,38.419,40.337,48.051,41.424,16.167,50.0,0.24016,3644.9,4518.1,9.3419,26.974,42.169,2717.5,75.465,120.39,0.31055,79.739,50.108,2646.7,24.15,47.322,3114.3,23.775,65.722,235.21,342.45,94.693,77.374,32.069,8.8001,26.488,6.8975,18.325,1.619,32.895,13.981,24.218,1.182,18.473,2.2467,4.7777,2.2437,0.014166,0.81688,0.098283,53.855,44.001
26100,62.638,54.611,23.819,60.919,22.683,41.047,39.09,48.11,47.872,40.898,20.155,50.0,0.23942,3687.7,4552.0,9.3848,26.925,42.368,2717.1,74.636,120.39,0.34601,79.738,50.336,2646.1,24.494,50.681,3113.1,22.106,65.714,234.24,342.28,94.548,77.095,32.598,8.8811,26.657,6.7364,18.514,1.6533,33.126,13.707,24.78,1.2134,17.991,2.2512,4.7412,2.2365,0.014166,0.81688,0.098283,53.855,44.001
26280,62.613,54.475,23.503,62.208,22.905,41.092,38.847,49.757,47.809,41.039,19.59,50.0,0.24264,3689.1,4563.4,9.1803,27.022,42.575,2717.9,75.683,120.38,0.34564,79.844,50.254,2647.4,25.263,51.393,3113.6,22.331,65.699,232.97,341.8,94.677,77.48,32.598,8.8811,26.657,6.7364,18.514,1.6533,33.126,13.707,24.78,1.2134,17.991,2.2512,4.7412,2.2365,0.0076423,0.8081,0.11171,53.471,44.181
26460,63.809,54.434,18.463,61.97,22.727,37.459,33.854,48.416,47.484,41.039,19.665,50.0,0.18838,3705.3,4533.0,9.3611,26.973,42.641,2716.0,74.504,120.4,0.31547,79.87,48.557,2645.4,25.361,50.813,3112.7,22.317,65.699,234.07,342.05,94.455,76.867,32.417,8.9678,26.938,6.8662,18.415,1.5876,33.183,13.872,24.3,1.2009,18.703,2.2364,4.7446,2.327,0.0076423,0.8081,0.11171,53.471,44.181
26640,63.916,54.038,18.522,61.05,22.653,37.738,40.605,51.024,47.331,41.12,19.921,50.0,0.18778,3699.1,4566.2,9.2337,27.153,42.204,2713.0,75.202,120.4,0.31319,79.678,50.851,2642.1,24.952,51.94,3109.5,22.219,65.654,233.29,341.71,94.547,76.882,32.417,8.9678,26.938,6.8662,18.415,1.5876,33.183,13.872,24.3,1.2009,18.703,2.2364,4.7446,2.327,0.0076423,0.8081,0.11171,53.471,44.181
26820,62.943,54.392,19.848,59.971,22.101,39.304,39.116,45.501,47.308,41.425,16.59,50.0,0.20277,3693.9,4561.3,9.2558,26.832,42.489,2710.4,76.124,120.4,0.33618,79.592,50.345,2638.4,26.22,49.554,3107.1,23.623,65.573,231.08,340.95,94.619,77.133,32.249,8.8428,27.001,6.8288,18.458,1.6607,32.588,13.806,24.287,1.045,18.374,2.2337,4.7737,2.3486,0.0076423,0.8081,0.11171,53.471,44.181
27000,63.127,54.12,19.833,62.641,22.507,39.64,37.525,46.024,47.299,40.512,15.298,50.0,0.20292,3683.2,4584.0,9.2103,27.123,42.465,2710.9,75.617,120.37,0.33342,79.923,49.804,2639.8,24.087,49.78,3107.2,24.156,65.584,228.7,340.21,94.687,77.395,32.249,8.8428,27.001,6.8288,18.458,1.6607,32.588,13.806,24.287,1.045,18.374,2.2337,4.7737,2.3486,0.0076423,0.8081,0.11171,53.471,44.181
27180,63.83,54.902,21.618,60.433,22.052,38.984,36.16,42.276,46.787,41.453,17.174,50.0,0.21423,3663.3,4514.5,9.2387,27.125,42.104,2710.6,75.374,120.42,0.32449,80.071,49.341,2640.0,24.746,48.16,3109.3,23.36,65.646,228.92,339.6,94.595,77.384,31.622,9.0263,27.079,6.8867,18.454,1.6421,32.628,13.778,24.277,1.3159,18.41,2.2474,4.7681,2.1832,0.022105,0.82102,0.093217,53.559,44.326
27360,63.087,54.323,21.402,62.425,21.82,38.467,36.495,49.065,46.497,40.683,17.658,50.0,0.21642,3706.5,4562.9,9.1873,26.736,42.01,2708.9,75.291,120.39,0.32873,80.033,49.454,2637.1,24.924,51.094,3107.8,23.167,65.634,228.35,339.79,94.651,77.031,31.622,9.0263,27.079,6.8867,18.454,1.6421,32.628,13.778,24.277,1.3159,18.41,2.2474,4.7681,2.1832,0.022105,0.82102,0.093217,53.559,44.326
27540,63.08,54.181,27.606,60.308,21.734,38.671,35.863,44.986,46.358,41.536,16.334,50.0,0.27986,3678.7,4580.2,9.293,26.777,42.159,2707.8,75.066,120.41,0.3207,79.868,49.24,2635.2,25.34,49.331,3106.6,23.734,65.616,226.12,339.54,94.627,76.958,32.503,8.8361,26.783,6.948,18.896,1.6364,32.337,14.042,24.347,1.1716,18.527,2.2851,4.8756,2.2132,0.022105,0.82102,0.093217,53.559,44.326
27720,63.186,54.868,27.742,60.68,21.836,38.318,41.369,47.581,46.018,40.414,19.803,50.0,0.27849,3672.5,4522.9,9.2529,27.308,42.165,2706.8,76.42,120.38,0.32359,79.93,51.111,2634.9,24.162,50.453,3107.2,22.277,65.572,226.15,338.9,94.751,76.888,32.503,8.8361,26.783,6.948,18.896,1.6364,32.337,14.042,24.347,1.1716,18.527,2.2851,4.8756,2.2132,0.022105,0.82102,0.093217,53.559,44.326
27900,63.027,54.101,19.309,58.784,21.688,42.483,40.296,45.639,46.027,40.688,21.781,50.0,0.19645,3648.6,4497.6,9.1993,26.973,41.939,2705.5,75.164,120.39,0.34832,80.069,50.746,2633.5,23.482,49.613,3104.0,21.429,65.526,222.31,338.73,94.722,77.443,31.646,8.9427,26.534,6.8675,18.928,1.622,32.649,13.862,24.468,1.0852,18.926,2.2664,4.8041,2.2931,0.022105,0.82102,0.093217,53.559,44.326
28080,62.74,54.262,19.218,60.963,21.489,42.203,34.785,46.935,45.936,40.582,16.956,50.0,0.19737,3665.2,4484.1,9.193,26.993,42.167,2701.5,75.226,120.38,0.35061,80.007,48.874,2629.6,22.278,50.173,3102.3,23.481,65.515,222.86,338.57,94.89,76.839,31.646,8.9427,26.534,6.8675,18.928,1.622,32.649,13.862,24.468,1.0852,18.926,2.2664,4.8041,2.2931,0.017677,0.85129,0.1002,54.506,44.428
28260,63.08,54.228,27.416,60.499,21.289,39.964,39.383,46.595,45.693,40.889,18.634,50.0,0.28218,3685.1,4478.6,9.2539,26.972,42.285,2701.1,74.616,120.4,0.3311,79.981,50.436,2628.6,24.499,50.026,3102.9,22.771,65.48,223.28,337.78,94.773,77.112,31.475,9.0531,26.792,7.0725,18.992,1.6652,32.093,13.842,24.632,1.2044,18.901,2.2983,4.8642,2.3245,0.017677,0.85129,0.1002,54.506,44.428
28440,63.445,53.748,27.755,60.531,21.583,39.763,33.353,42.609,45.52,41.064,18.949,50.0,0.27873,3663.9,4518.7,9.2904,27.171,42.163,2702.7,75.624,120.4,0.33275,80.136,48.387,2631.0,25.466,48.304,3103.4,22.633,65.459,222.92,337.45,94.747,77.318,31.475,9.0531,26.792,7.0725,18.992,1.6652,32.093,13.842,24.632,1.2044,18.901,2.2983,4.8642,2.3245,0.017677,0.85129,0.1002,54.506,44.428
28620,62.421,54.032,29.525,61.884,21.233,39.909,39.304,48.235,45.184,40.501,17.374,50.0,0.30675,3614.1,4479.3,9.3539,26.8,42.432,2701.8,75.089,120.38,0.32751,80.049,50.409,2629.3,24.111,50.735,3103.8,23.309,65.451,224.39,337.32,94.705,77.048,31.5,8.9403,26.351,6.9068,18.821,1.6721,32.452,13.914,24.435,1.0929,18.704,2.2375,4.8526,2.3663,0.017677,0.85129,0.1002,54.506,44.428
28800,62.401,54.143,29.874,59.936,21.662,39.418,39.667,42.203,45.346,40.496,16.456,50.0,0.30319,3615.3,4470.0,9.2708,26.504,42.292,2705.0,75.062,120.4,0.33153,80.25,50.533,2634.2,25.513,48.129,3104.2,23.681,65.461,220.29,338.4,94.93,77.388,31.5,8.9403,26.351,6.9068,18.821,1.6721,32.452,13.914,24.435,1.0929,18.704,2.2375,4.8526,2.3663,0.017677,0.85129,0.1002,54.506,44.428
28980,62.684,53.971,30.293,60.058,21.543,40.44,37.828,47.954,45.726,40.202,15.06,50.0,0.30871,3677.4,4517.6,9.155,26.907,42.13,2705.1,75.994,120.4,0.33952,80.153,49.908,2633.2,24.262,50.614,3105.6,24.282,65.48,222.42,338.24,94.596,76.974,31.549,9.0054,26.298,7.056,18.722,1.6808,31.882,13.942,24.361,1.2264,18.572,2.2256,4.879,2.3607,0.018023,0.85098,0.11007,54.074,43.804
29160,63.268,53.901,30.305,62.024,21.242,40.686,44.553,47.878,45.837,41.544,20.268,50.0,0.30859,3643.5,4523.4,9.232,26.845,42.413,2704.1,75.234,120.41,0.3375,80.105,52.193,2632.1,25.048,50.581,3106.0,22.088,65.477,222.65,337.71,94.912,77.033,31.549,9.0054,26.298,7.056,18.722,1.6808,31.882,13.942,24.361,1.2264,18.572,2.2256,4.879,2.3607,0.018023,0.85098,0.11007,54.074,43.804
29340,61.852,54.003,30.462,59.654,21.418,40.63,37.483,49.177,45.808,40.436,21.347,50.0,0.31135,3644.3,4535.3,9.3233,26.97,42.469,2703.4,75.374,120.38,0.34537,80.035,49.79,2631.2,24.932,51.142,3103.9,21.636,65.449,224.48,338.59,94.639,77.004,31.793,8.923,26.35,6.7594,19.561,1.644,32.414,14.027,24.669,1.2124,18.921,2.2506,4.7657,2.215,0.018023,0.85098,0.11007,54.074,43.804
29520,62.395,54.275,30.875,59.729,21.4,40.978,34.921,49.74,45.73,39.867,15.293,50.0,0.30715,3612.7,4512.5,9.3842,27.067,42.159,2700.6,74.642,120.38,0.34251,79.755,48.92,2629.1,26.376,51.385,3103.2,24.208,65.424,226.87,338.12,95.026,76.376,31.793,8.923,26.35,6.7594,19.561,1.644,32.414,14.027,24.669,1.2124,18.921,2.2506,4.7657,2.215,0.018023,0.85098,0.11007,54.074,43.804
29700,63.307,52.861,29.005,61.201,21.384,42.05,37.893,49.121,45.985,41.103,17.314,50.0,0.28967,3709.5,4453.4,9.3122,26.544,42.353,2701.1,75.153,120.42,0.3544,79.778,49.93,2629.8,25.242,51.118,3100.8,23.336,65.334,225.57,338.76,94.685,77.009,31.978,8.979,26.628,6.861,18.812,1.6062,32.769,13.88,24.276,1.317,18.992,2.2541,4.8319,2.2457,0.018023,0.85098,0.11007,54.074,43.804
29880,63.377,53.065,28.892,60.393,21.582,42.066,37.213,45.579,46.233,40.423,17.118,50.0,0.29081,3705.4,4436.4,9.3328,26.58,42.185,2702.4,75.038,120.41,0.35428,79.965,49.699,2630.3,24.887,49.587,3101.4,23.407,65.345,224.58,338.89,94.703,77.09,31.978,8.979,26.628,6.861,18.812,1.6062,32.769,13.88,24.276,1.317,18.992,2.2541,4.8319,2.2457,0.022082,0.86126,0.092249,52.941,44.453
30060,63.606,54.153,27.247,61.582,21.461,40.925,37.17,45.42,46.229,41.249,19.05,50.0,0.27806,3644.2,4493.4,9.2666,26.537,42.222,2702.4,75.202,120.43,0.33303,80.16,49.684,2630.8,25.687,49.519,3102.0,22.585,65.405,226.22,339.17,94.694,77.385,32.249,8.893,26.472,7.067,19.32,1.6816,32.557,13.855,24.237,1.3692,18.556,2.2385,4.7256,2.2494,0.022082,0.86126,0.092249,52.941,44.453
30240,63.388,54.68,27.386,61.392,22.166,40.252,37.585,49.368,46.422,41.267,18.567,50.0,0.27665,3656.9,4449.3,9.2677,27.003,42.145,2706.7,75.349,120.43,0.33854,80.688,49.825,2635.1,24.176,51.225,3104.8,22.767,65.552,225.56,339.31,94.454,78.03,32.249,8.893,26.472,7.067,19.32,1.6816,32.557,13.855,24.237,1.3692,18.556,2.2385,4.7256,2.2494,0.022082,0.86126,0.092249,52.941,44.453
30420,62.063,53.027,24.982,61.505,21.768,40.046,39.193,41.872,46.419,41.254,18.904,50.0,0.25017,3624.4,4479.2,9.2434,26.822,42.38,2706.4,74.695,120.42,0.33519,80.989,50.371,2635.5,23.246,47.985,3106.5,22.618,65.757,226.97,338.59,94.523,78.232,32.063,8.9649,26.403,6.8256,19.297,1.6465,32.574,13.848,24.285,1.2285,18.204,2.2711,4.7816,2.2739,0.022082,0.86126,0.092249,52.941,44.453
30600,62.522,52.745,24.988,61.6,21.678,40.305,34.889,50.35,46.71,40.388,20.993,50.0,0.25011,3597.7,4502.8,9.164,26.898,42.423,2703.4,75.173,120.4,0.33306,80.771,48.909,2631.4,25.263,51.649,3103.6,21.774,65.93,225.04,338.85,94.675,77.45,32.063,8.9649,26.403,6.8256,19.297,1.6465,32.574,13.848,24.285,1.2285,18.204,2.2711,4.7816,2.2739,0.022082,0.86126,0.092249,52.941,44.453
30780,63.453,53.047,26.716,60.496,21.52,40.019,34.423,50.458,46.822,41.277,18.156,50.0,0.26918,3663.1,4474.8,9.139,27.131,42.757,2700.2,75.519,120.41,0.33429,80.39,48.75,2627.7,25.756,51.696,3100.5,22.996,65.928,228.51,338.7,94.779,77.003,31.577,8.9577,26.081,6.9068,19.166,1.6457,32.573,13.802,23.821,1.3979,19.127,2.2367,4.8993,2.3136,0.027232,0.87851,0.097421,52.947,43.54
30960,63.026,53.707,26.477,59.342,21.254,40.267,41.465,43.257,47.06,40.052,19.146,50.0,0.27162,3688.0,4419.6,9.3047,27.108,42.192,2696.4,74.697,120.39,0.33226,80.035,51.143,2624.2,25.099,48.584,3096.5,22.588,65.836,228.73,339.03,94.65,76.83,31.577,8.9577,26.081,6.9068,19.166,1.6457,32.573,13.802,23.821,1.3979,19.127,2.2367,4.8993,2.3136,0.027232,0.87851,0.097421,52.947,43.54
31140,63.768,53.417,31.68,62.1,21.523,39.273,35.97,49.207,47.293,40.696,19.685,50.0,0.32047,3604.3,4464.4,9.1485,27.115,42.037,2695.0,74.317,120.39,0.33023,79.799,49.276,2622.5,24.735,51.155,3094.7,22.366,65.718,229.11,339.21,94.807,76.568,31.85,8.8114,25.999,6.8992,19.229,1.6283,32.747,13.882,24.408,1.084,18.895,2.2359,4.869,2.3678,0.027232,0.87851,0.097421,52.947,43.54
31320,63.435,53.197,31.519,61.313,21.473,39.318,40.021,47.804,47.552,40.477,18.916,50.0,0.32212,3623.7,4482.7,9.2304,27.136,42.299,2693.5,75.035,120.38,0.32986,79.524,50.653,2621.3,23.867,50.549,3093.5,22.69,65.573,229.26,339.23,94.908,76.248,31.85,8.8114,25.999,6.8992,19.229,1.6283,32.747,13.882,24.408,1.084,18.895,2.2359,4.869,2.3678,0.027232,0.87851,0.097421,52.947,43.54
31500,62.852,53.345,29.512,61.937,21.902,40.286,36.875,49.132,47.661,40.49,15.685,50.0,0.2996,3660.3,4451.4,9.2064,26.766,42.68,2693.7,74.694,120.39,0.33987,79.38,49.584,2621.5,24.844,51.122,3090.9,24.035,65.455,231.15,340.27,94.73,76.425,31.891,8.7465,26.339,7.0301,18.761,1.63,32.727,13.897,23.79,1.3861,18.53,2.2517,4.834,2.3597,0.027232,0.87851,0.097421,52.947,43.54
31680,62.665,53.067,29.55,61.533,21.906,40.474,37.104,45.053,48.287,40.057,16.057,50.0,0.29921,3671.1,4474.7,9.4143,26.757,42.016,2695.8,75.046,120.39,0.33832,79.541,49.661,2623.4,25.958,49.36,3092.8,23.846,65.384,232.87,340.22,94.784,76.989,31.891,8.7465,26.339,7.0301,18.761,1.63,32.727,13.897,23.79,1.3861,18.53,2.2517,4.834,2.3597,-0.010874,0.85825,0.082363,52.821,43.946
31860,62.47,54.232,29.419,62.247,21.969,40.307,34.527,46.785,48.611,40.53,17.127,50.0,0.29917,3611.2,4470.1,9.3284,26.727,42.812,2698.7,75.205,120.4,0.34378,79.733,48.786,2626.7,24.741,50.108,3095.5,23.379,65.425,234.74,340.07,94.802,77.272,31.537,8.9792,26.184,6.6929,19.071,1.648,33.183,14.093,24.153,1.2385,18.897,2.2605,4.7167,2.251,-0.010874,0.85825,0.082363,52.821,43.946
32040,62.535,53.575,29.553,62.248,22.456,41.092,37.403,48.054,48.813,40.985,21.51,50.0,0.29781,3607.4,4525.0,9.3942,26.903,42.511,2704.0,73.652,120.39,0.33735,80.045,49.763,2632.3,24.645,50.657,3099.0,21.536,65.554,237.9,341.15,94.633,77.362,31.537,8.9792,26.184,6.6929,19.071,1.648,33.183,14.093,24.153,1.2385,18.897,2.2605,4.7167,2.251,-0.010874,0.85825,0.082363,52.821,43.946
32220,63.835,53.363,33.12,61.012,22.159,43.313,40.419,47.926,49.244,41.049,18.029,50.0,0.33988,3704.9,4477.4,9.3897,26.935,42.296,2708.8,74.925,120.43,0.36412,80.58,50.788,2637.9,24.969,50.601,3107.1,22.985,65.735,238.38,340.78,94.533,78.126,32.108,8.9035,26.418,6.7435,19.192,1.6582,33.206,14.099,23.941,1.3309,18.905,2.2473,4.7261,2.2761,-0.010874,0.85825,0.082363,52.821,43.946
32400,63.385,53.294,33.436,61.442,22.435,43.239,37.773,45.629,49.846,42.44,19.733,50.0,0.33667,3731.0,4483.2,9.322,27.197,41.955,2714.9,74.534,120.48,0.36473,81.231,49.889,2644.2,25.433,49.609,3112.9,22.246,66.046,236.75,341.21,94.167,78.898,32.108,8.9035,26.418,6.7435,19.192,1.6582,33.206,14.099,23.941,1.3309,18.905,2.2473,4.7261,2.2761,-0.010874,0.85825,0.082363,52.821,43.946
32580,63.094,53.328,28.282,59.638,22.064,43.224,34.095,46.53,50.064,41.312,19.267,50.0,0.28631,3731.1,4450.5,9.3794,26.848,42.39,2715.2,75.096,120.43,0.36952,81.569,48.639,2644.3,25.219,49.998,3114.1,22.454,66.396,234.11,341.04,94.109,78.714,32.069,9.0981,25.914,6.9295,18.801,1.6506,33.23,13.804,23.97,1.2859,18.167,2.2785,4.7725,2.317,0.011727,0.85383,0.095247,53.796,44.258
32760,63.22,53.164,28.362,62.63,22.184,44.233,37.639,43.346,50.082,42.821,19.052,50.0,0.28549,3723.8,4464.2,9.2413,27.25,42.495,2711.2,75.067,120.46,0.36125,81.458,49.843,2641.0,23.09,48.622,3110.2,22.569,66.648,236.53,341.02,94.18,78.538,32.069,9.0981,25.914,6.9295,18.801,1.6506,33.23,13.804,23.97,1.2859,18.167,2.2785,4.7725,2.317,0.011727,0.85383,0.095247,53.796,44.258
32940,62.508,53.678,28.595,59.126,21.796,39.741,34.909,43.664,50.278,40.961,21.048,50.0,0.29262,3672.9,4498.1,9.3568,26.451,42.297,2708.5,75.542,120.36,0.3349,81.419,48.916,2638.1,25.515,48.76,3107.4,21.759,66.79,236.93,341.48,94.226,78.421,31.8,8.7664,26.541,6.7667,18.968,1.6608,32.962,13.859,23.417,1.3234,19.119,2.2917,4.8974,2.3624,0.011727,0.85383,0.095247,53.796,44.258
33120,62.596,54.232,28.893,59.838,21.817,39.681,33.516,44.23,50.447,41.67,20.423,50.0,0.28958,3667.8,4451.9,9.178,26.751,42.617,2706.4,74.806,120.39,0.33539,81.301,48.442,2635.6,24.398,49.005,3105.6,22.061,66.887,237.61,341.26,94.41,78.38,31.8,8.7664,26.541,6.7667,18.968,1.6608,32.962,13.859,23.417,1.3234,19.119,2.2917,4.8974,2.3624,0.011727,0.85383,0.095247,53.796,44.258
33300,63.468,53.645,31.644,60.66,22.088,40.427,36.154,47.275,50.659,41.484,20.946,50.0,0.31886,3701.9,4465.2,9.1747,26.914,42.931,2705.0,75.578,120.4,0.34134,81.283,49.339,2634.8,21.802,50.32,3102.7,21.873,66.954,237.77,341.65,94.357,78.603,32.497,8.9745,25.971,7.0174,18.858,1.6531,32.595,13.754,24.0,0.96116,18.5,2.3024,5.0119,2.3565,0.011727,0.85383,0.095247,53.796,44.258
33480,63.376,53.237,31.697,60.751,22.272,40.017,35.405,43.611,50.651,41.422,22.11,50.0,0.31832,3707.3,4499.3,9.0471,26.77,42.142,2704.9,75.828,120.39,0.3447,81.444,49.084,2635.6,24.461,48.737,3101.7,21.425,67.036,239.51,342.11,94.252,78.535,32.497,8.9745,25.971,7.0174,18.858,1.6531,32.595,13.754,24.0,0.96116,18.5,2.3024,5.0119,2.3565,0.010423,0.83057,0.08443,53.341,43.901
33660,61.857,53.747,24.925,60.104,22.417,39.456,35.946,46.769,51.191,41.373,19.312,50.0,0.25328,3667.2,4477.3,9.1225,26.795,42.384,2701.9,75.186,120.38,0.32625,81.462,49.268,2631.9,24.336,50.101,3097.7,22.649,67.16,235.54,341.93,94.551,78.304,32.834,8.9613,26.135,7.1092,18.613,1.6558,32.89,13.781,24.003,1.1803,18.551,2.3479,5.0429,2.4263,0.010423,0.83057,0.08443,53.341,43.901
33840,61.935,53.561,24.764,60.13,22.344,39.032,37.545,43.764,51.201,40.739,21.145,50.0,0.25492,3662.7,4492.8,9.103,26.974,41.996,2699.5,75.564,120.36,0.32973,81.53,49.811,2629.1,24.446,48.803,3095.2,21.905,67.229,237.47,341.37,94.624,78.485,32.834,8.9613,26.135,7.1092,18.613,1.6558,32.89,13.781,24.003,1.1803,18.551,2.3479,5.0429,2.4263,0.010423,0.83057,0.08443,53.341,43.901
34020,61.675,53.832,21.284,58.855,22.349,39.56,34.799,43.837,51.347,40.473,20.837,50.0,0.21507,3621.1,4521.0,8.9825,27.061,42.322,2697.5,76.612,120.36,0.33051,81.617,48.878,2626.5,21.694,48.835,3092.0,22.073,67.32,237.84,341.26,94.778,78.325,31.739,8.9268,26.386,6.9908,18.817,1.6384,33.003,13.817,23.233,1.2482,19.249,2.2946,5.006,2.4133,0.010423,0.83057,0.08443,53.341,43.901
34200,61.238,54.097,21.378,60.026,22.303,39.463,39.01,45.922,51.441,40.157,20.809,50.0,0.21412,3646.4,4498.9,9.0299,26.765,42.169,2692.2,76.337,120.37,0.3313,81.456,50.309,2622.6,24.13,49.735,3087.2,22.138,67.375,238.77,340.7,94.909,78.032,31.739,8.9268,26.386,6.9908,18.817,1.6384,33.003,13.817,23.233,1.2482,19.249,2.2946,5.006,2.4133,0.010423,0.83057,0.08443,53.341,43.901
34380,62.225,53.676,31.572,58.406,22.224,40.373,41.303,42.186,51.294,39.806,18.654,50.0,0.32025,3640.2,4493.1,9.0169,26.758,41.674,2690.9,75.304,120.35,0.33145,81.423,51.089,2620.5,23.414,48.121,3086.2,23.09,67.383,235.88,340.63,94.833,77.916,32.709,9.0118,26.051,6.8174,18.587,1.644,33.149,13.896,23.311,1.2687,18.766,2.2857,5.0577,2.3987,0.025652,0.78578,0.11726,52.864,44.006
